venue_id,venue_name,address,city,capacity,surface,image_url
494,Emirates Stadium,Hornsey Road,London,60383,grass,https://media.api-sports.io/football/venues/494.png
495,Villa Park,Trinity Road,Birmingham,42824,grass,https://media.api-sports.io/football/venues/495.png
504,Vitality Stadium,"Dean Court, Kings Park","Bournemouth, Dorset",12000,grass,https://media.api-sports.io/football/venues/504.png
508,American Express Stadium,Village Way,"Falmer, East Sussex",31872,grass,https://media.api-sports.io/football/venues/508.png
519,Stamford Bridge,Fulham Road,London,41841,grass,https://media.api-sports.io/football/venues/519.png
525,Selhurst Park,Holmesdale Road,London,26309,grass,https://media.api-sports.io/football/venues/525.png
535,Craven Cottage,Stevenage Road,London,29589,grass,https://media.api-sports.io/football/venues/535.png
545,Portman Road,Portman Road,"Ipswich, Suffolk",30311,grass,https://media.api-sports.io/football/venues/545.png
547,King Power Stadium,Filbert Way,"Leicester, Leicestershire",34310,grass,https://media.api-sports.io/football/venues/547.png
550,Anfield,Anfield Road,Liverpool,61276,grass,https://media.api-sports.io/football/venues/550.png
555,Etihad Stadium,Rowsley Street,Manchester,55097,grass,https://media.api-sports.io/football/venues/555.png
556,Old Trafford,Sir Matt Busby Way,Manchester,76212,grass,https://media.api-sports.io/football/venues/556.png
562,St. James' Park,St. James&apos; Street,Newcastle upon Tyne,52758,grass,https://media.api-sports.io/football/venues/562.png
566,The City Ground,Pavilion Road,"Nottingham, Nottinghamshire",30576,grass,https://media.api-sports.io/football/venues/566.png
585,St. Mary's Stadium,Britannia Road,"Southampton, Hampshire",32689,grass,https://media.api-sports.io/football/venues/585.png
593,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road",London,62850,grass,https://media.api-sports.io/football/venues/593.png
598,London Stadium,"Marshgate Lane, Stratford",London,64472,grass,https://media.api-sports.io/football/venues/598.png
600,Molineux Stadium,Waterloo Road,"Wolverhampton, West Midlands",34624,grass,https://media.api-sports.io/football/venues/600.png
10503,Gtech Community Stadium,"166 Lionel Rd N, Brentford","Brentford, Middlesex",17250,grass,https://media.api-sports.io/football/venues/10503.png
22033,Hill Dickinson Stadium,"35 Regent Road, Bramley-Moore Dock, Vauxhall","Liverpool, Merseyside",52888,grass,https://media.api-sports.io/football/venues/22033.png
